+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                ;
+--------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                            ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; MuxLoadUpperImm                                                                      ; 11    ; 5              ; 0            ; 5              ; 5      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MuxVarShift|\G1:4:two_one_MUX_i|g_or1                                                ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MuxVarShift|\G1:4:two_one_MUX_i|g_and2                                               ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MuxVarShift|\G1:4:two_one_MUX_i|g_and1                                               ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MuxVarShift|\G1:4:two_one_MUX_i|g_invg1                                              ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MuxVarShift|\G1:4:two_one_MUX_i                                                      ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MuxVarShift|\G1:3:two_one_MUX_i|g_or1                                                ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MuxVarShift|\G1:3:two_one_MUX_i|g_and2                                               ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MuxVarShift|\G1:3:two_one_MUX_i|g_and1                                               ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MuxVarShift|\G1:3:two_one_MUX_i|g_invg1                                              ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MuxVarShift|\G1:3:two_one_MUX_i                                                      ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MuxVarShift|\G1:2:two_one_MUX_i|g_or1                                                ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MuxVarShift|\G1:2:two_one_MUX_i|g_and2                                               ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MuxVarShift|\G1:2:two_one_MUX_i|g_and1                                               ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MuxVarShift|\G1:2:two_one_MUX_i|g_invg1                                              ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MuxVarShift|\G1:2:two_one_MUX_i                                                      ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MuxVarShift|\G1:1:two_one_MUX_i|g_or1                                                ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MuxVarShift|\G1:1:two_one_MUX_i|g_and2                                               ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MuxVarShift|\G1:1:two_one_MUX_i|g_and1                                               ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MuxVarShift|\G1:1:two_one_MUX_i|g_invg1                                              ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MuxVarShift|\G1:1:two_one_MUX_i                                                      ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MuxVarShift|\G1:0:two_one_MUX_i|g_or1                                                ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MuxVarShift|\G1:0:two_one_MUX_i|g_and2                                               ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MuxVarShift|\G1:0:two_one_MUX_i|g_and1                                               ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MuxVarShift|\G1:0:two_one_MUX_i|g_invg1                                              ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MuxVarShift|\G1:0:two_one_MUX_i                                                      ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; MuxVarShift                                                                          ; 11    ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:31:two_one_MUX_i|g_or1                              ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:31:two_one_MUX_i|g_and2                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:31:two_one_MUX_i|g_and1                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:31:two_one_MUX_i|g_invg1                            ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:31:two_one_MUX_i                                    ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:30:two_one_MUX_i|g_or1                              ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:30:two_one_MUX_i|g_and2                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:30:two_one_MUX_i|g_and1                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:30:two_one_MUX_i|g_invg1                            ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:30:two_one_MUX_i                                    ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:29:two_one_MUX_i|g_or1                              ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:29:two_one_MUX_i|g_and2                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:29:two_one_MUX_i|g_and1                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:29:two_one_MUX_i|g_invg1                            ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:29:two_one_MUX_i                                    ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:28:two_one_MUX_i|g_or1                              ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:28:two_one_MUX_i|g_and2                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:28:two_one_MUX_i|g_and1                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:28:two_one_MUX_i|g_invg1                            ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:28:two_one_MUX_i                                    ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:27:two_one_MUX_i|g_or1                              ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:27:two_one_MUX_i|g_and2                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:27:two_one_MUX_i|g_and1                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:27:two_one_MUX_i|g_invg1                            ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:27:two_one_MUX_i                                    ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:26:two_one_MUX_i|g_or1                              ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:26:two_one_MUX_i|g_and2                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:26:two_one_MUX_i|g_and1                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:26:two_one_MUX_i|g_invg1                            ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:26:two_one_MUX_i                                    ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:25:two_one_MUX_i|g_or1                              ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:25:two_one_MUX_i|g_and2                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:25:two_one_MUX_i|g_and1                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:25:two_one_MUX_i|g_invg1                            ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:25:two_one_MUX_i                                    ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:24:two_one_MUX_i|g_or1                              ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:24:two_one_MUX_i|g_and2                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:24:two_one_MUX_i|g_and1                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:24:two_one_MUX_i|g_invg1                            ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:24:two_one_MUX_i                                    ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:23:two_one_MUX_i|g_or1                              ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:23:two_one_MUX_i|g_and2                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:23:two_one_MUX_i|g_and1                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:23:two_one_MUX_i|g_invg1                            ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:23:two_one_MUX_i                                    ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:22:two_one_MUX_i|g_or1                              ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:22:two_one_MUX_i|g_and2                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:22:two_one_MUX_i|g_and1                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:22:two_one_MUX_i|g_invg1                            ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:22:two_one_MUX_i                                    ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:21:two_one_MUX_i|g_or1                              ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:21:two_one_MUX_i|g_and2                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:21:two_one_MUX_i|g_and1                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:21:two_one_MUX_i|g_invg1                            ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:21:two_one_MUX_i                                    ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:20:two_one_MUX_i|g_or1                              ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:20:two_one_MUX_i|g_and2                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:20:two_one_MUX_i|g_and1                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:20:two_one_MUX_i|g_invg1                            ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:20:two_one_MUX_i                                    ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:19:two_one_MUX_i|g_or1                              ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:19:two_one_MUX_i|g_and2                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:19:two_one_MUX_i|g_and1                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:19:two_one_MUX_i|g_invg1                            ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:19:two_one_MUX_i                                    ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:18:two_one_MUX_i|g_or1                              ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:18:two_one_MUX_i|g_and2                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:18:two_one_MUX_i|g_and1                             ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:18:two_one_MUX_i|g_invg1                            ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:18:two_one_MUX_i                                    ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; AluWithBarrel|N_bit_2_1_MUX1|\G1:17:two_one_MUX_i|g_or1                              ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
